################################################################################
# Collectl:   V4.0.4-1  HiRes: 1  Options: -P -ou -R 80s -f/tmp/cops2_2 
# Host:       node-2  DaemonOpts: 
# Booted:     1495646150.12 [20170524-11:15:50]
# Distro:     debian stretch/sid, Ubuntu 16.04.1 LTS  Platform: 
# Date:       20170524-134548  Secs: 1495655148 TZ: -0600
# SubSys:     cdn Options: u Interval: 1 NumCPUs: 2 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2992.701 Cores: 1  Siblings: 2 Nodes: 1
# Kernel:     4.4.0-45-generic  Memory: 1916728 kB  Swap: 3145724 kB
# NumDisks:   2 DiskNames: sdb sda
# NumNets:    7 NetNames: enp10s3f0:?? lo:?? enp6s7:100 enp9s4f0:1000 enp10s3f1:?? enp7s8:?? enp9s4f1:??
# SCSI:       CD:0:00:00:00 DA:2:00:00:00 DA:2:00:01:00 PR:2:00:06:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20170524 13:45:50 3 0 1 0 0 0 0 96 4 0 0 441 779 4 287 1 1.06 0.74 0.43 1 0 120 115 23 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20170524 13:45:51 50 0 3 0 0 1 0 46 54 0 0 1767 3798 38 325 3 1.06 0.74 0.43 3 0 491 485 115 149 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20170524 13:45:52 91 0 4 0 0 1 0 4 96 0 0 1683 2590 0 325 2 1.06 0.74 0.43 1 0 381 366 109 233 0 0 0 0 0 0 4 4 0 56 56 0 10 10
20170524 13:45:53 46 0 4 0 0 3 0 48 52 0 0 1740 3645 0 325 1 1.06 0.74 0.43 1 0 538 532 164 375 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20170524 13:45:54 35 0 4 0 0 1 0 61 39 0 0 1729 3837 0 325 0 1.21 0.78 0.44 1 0 608 594 179 407 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20170524 13:45:55 38 0 4 0 0 2 0 57 43 0 0 1751 3878 0 325 1 1.21 0.78 0.44 2 0 626 622 154 425 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20170524 13:45:56 79 0 6 1 0 2 0 13 86 0 0 1936 3751 0 325 3 1.21 0.78 0.44 3 0 517 503 184 383 0 0 0 0 0 0 25 25 0 2668 2668 0 617 617
20170524 13:45:57 50 0 4 0 0 1 0 46 54 0 0 1938 3698 0 325 0 1.21 0.78 0.44 1 0 554 542 170 389 0 0 0 0 0 0 4 4 0 768 768 0 7 7
20170524 13:45:58 79 0 3 0 0 1 0 16 84 0 0 1880 3955 0 325 2 1.21 0.78 0.44 3 0 575 568 189 418 0 1 0 0 0 0 0 0 0 0 0 0 0 0
20170524 13:45:59 88 0 6 0 0 2 0 5 95 0 0 2255 3781 0 325 3 1.28 0.80 0.45 3 0 607 590 207 442 0 0 0 0 0 0 0 0 0 0 0 0 0 0
